city,date,temp,feels_like,humidity,wind_speed,timestamp
New York,2021-03-27,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-27,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-28,62.51,62.28,81,13.8,1763404730
New York,2021-03-28,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-28,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-29,62.51,62.28,81,13.8,1763404730
New York,2021-03-29,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-29,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-30,62.51,62.28,81,13.8,1763404730
New York,2021-03-30,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-30,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-31,62.51,62.28,81,13.8,1763404730
New York,2021-03-31,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-31,79.7,79.7,67,8.05,1763404531
